"year","year_num","WORLD_pop","pc2","p","R","P","flag","RATIO","Perc"
"1960",1960,3026003,0,19.8047414282881,1.19804741428288,19.8,FALSE,1.19804741428288,19.8
"1970",1970,3691173,21.98,46.1399829517943,1.46139982951794,46.1,FALSE,1.46139982951794,46.1
"1980",1980,4449049,47.03,76.1456168572151,1.76145616857215,76.1,FALSE,1.76145616857215,76.1
"1990",1990,5320817,75.84,110.660433870105,2.10660433870105,110.7,FALSE,2.10660433870105,110.7
"2000",2000,6127700,102.5,142.606340459716,2.42606340459716,142.6,TRUE,2.42606340459716,142.6
"2010",2010,6916183,128.56,173.823758927444,2.73823758927444,173.8,TRUE,2.73823758927444,173.8
