"year","world.pop","ratio","perc","RATIO","percent","Perc","p","flag"
1950,2525779,1,0,1,0,0,0,FALSE
1960,3026003,1.19804741428288,20,1.19804741428288,19.8047414282881,19.8,19.8047414282881,FALSE
1970,3691173,1.46139982951794,46,1.46139982951794,46.1399829517943,46.1,46.1399829517943,FALSE
1980,4449049,1.76145616857215,76,1.76145616857215,76.1456168572151,76.1,76.1456168572151,FALSE
1990,5320817,2.10660433870105,111,2.10660433870105,110.660433870105,110.7,110.660433870105,FALSE
2000,6127700,2.42606340459716,143,2.42606340459716,142.606340459716,142.6,142.606340459716,TRUE
2010,6916183,2.73823758927444,174,2.73823758927444,173.823758927444,173.8,173.823758927444,TRUE
